3,Tu,3,Mar,2019
4,Wed,4,Mar,2019
5,Thur,5,Mar,2019
6,Fri,no class,Mar,2019
7,Sa,,Mar,2019
8,Sun,,Mar,2019
9,Mon,6,Mar,2019
10,Tu,7,Mar,2019
11,Wed,1,Mar,2019
12,Thur,2,Mar,2019
13,Fri,3,Mar,2019
14,Sa,,Mar,2019
15,Sun,,Mar,2019
16,Mon,4,Mar,2019
17,Tu,5,Mar,2019
18,Wed,6,Mar,2019
19,Thur,7,Mar,2019
20,Fri,1,Mar,2019
21,Sa,,Mar,2019
22,Sun,,Mar,2019
23,Mon,spring break,Mar,2019
24,Tu,spring break,Mar,2019
25,Wed,spring break,Mar,2019
26,Thur,spring break,Mar,2019
27,Fri,spring break,Mar,2019
28,Sa,,Mar,2019
29,Sun,,Mar,2019
30,Mon,spring break,Mar,2019
31,Tu,spring break,Mar,2019
1,Wed,spring break,Apr,2019
2,Thur,spring break,Apr,2019
3,Fri,spring break,Apr,2019
4,Sa,,Apr,2019
5,Sun,,Apr,2019
6,Mon,2,Apr,2019
7,Tu,3,Apr,2019
8,Wed,4,Apr,2019
9,Thur,5,Apr,2019
10,Fri,6,Apr,2019
11,Sa,,Apr,2019
12,Sun,,Apr,2019
13,Mon,7,Apr,2019
14,Tu,1,Apr,2019
15,Wed,2,Apr,2019
16,Thur,3,Apr,2019
17,Fri,4,Apr,2019
18,Sa,,Apr,2019
19,Sun,,Apr,2019
20,Mon,5,Apr,2019
21,Tu,6,Apr,2019
22,Wed,7,Apr,2019
23,Thur,1,Apr,2019
24,Fri,2,Apr,2019
25,Sa,,Apr,2019
26,Sun,,Apr,2019
27,Mon,3,Apr,2019
28,Tu,4,Apr,2019
29,Wed,5,Apr,2019
30,Thur,6,Apr,2019
1,Fri,7,May,2019
2,Sa,,May,2019
3,Sun,,May,2019
4,Mon,1,May,2019
5,Tu,2,May,2019
6,Wed,3,May,2019
7,Thur,4,May,2019
8,Fri,5,May,2019
9,Sa,,May,2019
10,Sun,,May,2019
11,Mon,6,May,2019
12,Tu,7,May,2019
13,Wed,1,May,2019
14,Thur,2,May,2019
15,Fri,3,May,2019
16,Sa,,May,2019
17,Sun,,May,2019
18,Mon,4,May,2019
19,Tu,5,May,2019
20,Wed,6,May,2019
21,Thur,7,May,2019
22,Fri,no school,May,2019
23,Sa,,May,2019
24,Sun,,May,2019
25,Mon,no school,May,2019
26,Tu,special schedule,May,2019
27,Wed,special schedule,May,2019
28,Thur,special schedule,May,2019
29,Fri,special schedule,May,2019
30,,,,
31,,,,
